electionTiming,desk,NonstopWords,NposPorter,NnegPorter
3,The Arts/Cultural Desk,374,27,6
3,The Arts/Cultural Desk,598,53,21
3,The Arts/Cultural Desk,800,70,44
3,The Arts/Cultural Desk,624,37,32
3,The Arts/Cultural Desk,1134,103,70
3,The Arts/Cultural Desk,1484,82,36
3,The Arts/Cultural Desk,1262,85,26
3,The Arts/Cultural Desk,1306,100,32
3,The Arts/Cultural Desk,634,34,36
3,The Arts/Cultural Desk,1136,58,53
3,The Arts/Cultural Desk,812,54,31
3,The Arts/Cultural Desk,1192,77,19
3,Business/Financial Desk,1228,52,32
3,Business/Financial Desk,978,60,33
3,National Desk,1156,49,26
3,National Desk,1206,57,38
3,Business/Financial Desk,870,48,28
3,Foreign Desk,1510,99,30
3,Business/Financial Desk,1556,77,36
3,Business/Financial Desk,1118,81,21
3,Business/Financial Desk,1180,68,23
3,Metropolitan Desk,486,21,20
3,Metropolitan Desk,1158,75,78
3,Metropolitan Desk,720,44,16
3,Foreign Desk,1216,86,71
3,Foreign Desk,1508,85,52
3,Foreign Desk,1092,38,64
3,National Desk,1160,64,43
3,National Desk,946,72,51
3,National Desk,968,54,46
3,National Desk,732,34,35
3,National Desk,1060,42,43
3,Business/Financial Desk,434,19,6
3,Business/Financial Desk,444,18,15
3,Foreign Desk,982,33,49
3,Foreign Desk,1662,39,72
3,Sports Desk,992,79,24
3,Foreign Desk,666,28,32
3,Business/Financial Desk,676,38,25
3,Sports Desk,986,56,32
3,Business/Financial Desk,400,31,29
3,Business/Financial Desk,812,45,46
3,Sports Desk,682,64,37
3,Editorial Desk,1900,112,41
3,Editorial Desk,784,76,34
3,The Arts/Cultural Desk,580,43,8
3,Sports Desk,410,22,18
3,Sports Desk,944,41,11
3,Sports Desk,838,44,38
3,National Desk,1262,43,66
3,National Desk,880,58,65
3,Editorial Desk,488,19,11
3,Business/Financial Desk,1970,126,83
3,Business/Financial Desk,1118,77,36
3,Business/Financial Desk,1206,73,29
3,Business/Financial Desk,1902,78,34
3,Business/Financial Desk,1498,92,61
3,Sports Desk,1074,61,38
3,Sports Desk,890,66,33
3,Sports Desk,1030,58,23
3,Sports Desk,688,43,11
3,Sports Desk,2288,134,47
